Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218078, 1, 0, 0
01-20, 2, 19218060, 19, 0, 0
01-20, 2, 19219957, 19, 0, 0
01-20, 3, 19219942, 28, 6, 0
01-20, 3, 19221839, 28, 6, 0
01-20, 4, 19221822, 38, 13, 0
01-20, 4, 19223720, 37, 13, 0
01-20, 5, 19223708, 35, 25, 2
01-20, 5, 19225606, 34, 25, 2
01-20, 6, 19225585, 38, 42, 2
01-20, 6, 19227482, 38, 42, 2
01-20, 7, 19227461, 37, 63, 3
01-20, 7, 19229358, 37, 63, 3
01-20, 8, 19229335, 45, 77, 4
01-20, 8, 19231232, 45, 77, 4
01-20, 9, 19231213, 49, 89, 7
01-20, 9, 19233111, 49, 88, 7
01-20, 10, 19233083, 54, 107, 11
01-20, 10, 19234979, 54, 108, 11
01-20, 11, 19234956, 55, 122, 19
01-20, 11, 19236851, 57, 123, 18
01-20, 12, 19236834, 54, 138, 23
01-20, 12, 19238731, 54, 139, 22
01-20, 13, 19238714, 42, 165, 25
01-20, 13, 19240611, 42, 165, 25
01-20, 14, 19240586, 47, 176, 34
01-20, 14, 19242485, 48, 174, 33
01-20, 15, 19242464, 51, 190, 35
01-20, 15, 19244366, 51, 188, 32
01-20, 16, 19244346, 49, 205, 37
01-20, 16, 19246243, 50, 205, 36
01-20, 17, 19246230, 47, 215, 42
01-20, 17, 19248128, 46, 216, 41
01-20, 18, 19248110, 48, 224, 49
01-20, 18, 19250007, 49, 224, 48
01-20, 19, 19249988, 47, 241, 52
01-20, 19, 19251886, 47, 241, 51
01-20, 20, 19251859, 59, 243, 64
01-20, 20, 19253758, 58, 243, 63
01-20, 21, 19253729, 66, 257, 70
01-20, 21, 19255629, 64, 257, 69
01-20, 22, 19255607, 62, 276, 74
01-20, 22, 19257505, 63, 275, 73
01-20, 23, 19257478, 71, 285, 82
01-20, 23, 19259376, 70, 286, 81
01-20, 24, 19259342, 79, 302, 90
01-20, 24, 19261241, 77, 303, 89
01-20, 25, 19261218, 71, 324, 97
01-20, 25, 19263112, 72, 327, 96
01-20, 26, 19263077, 85, 340, 105
01-20, 26, 19264972, 85, 342, 105
01-20, 27, 19264937, 72, 388, 107
01-20, 27, 19266834, 72, 389, 106
01-20, 28, 19266783, 89, 409, 120
01-20, 28, 19268680, 90, 408, 120
01-20, 29, 19268641, 87, 443, 127
01-20, 29, 19270533, 90, 444, 128
01-20, 30, 19270491, 97, 467, 140
01-20, 30, 19272389, 97, 466, 140
01-20, 31, 19272350, 93, 496, 153
Los Angeles-Long Beach-Anaheim CA MSA
01-20, 1, 13214799, 0, 0, 0
01-20, 1, 13213794, 0, 0, 0
01-20, 2, 13213776, 18, 0, 0
01-20, 2, 13212770, 19, 0, 0
01-20, 3, 13212755, 28, 6, 0
01-20, 3, 13211749, 28, 7, 0
01-20, 4, 13211740, 26, 18, 0
01-20, 4, 13210734, 27, 18, 0
01-20, 5, 13210724, 30, 24, 1
01-20, 5, 13209717, 31, 25, 1
01-20, 6, 13209707, 29, 36, 2
01-20, 6, 13208701, 29, 37, 2
01-20, 7, 13208682, 34, 49, 4
01-20, 7, 13207680, 34, 46, 4
01-20, 8, 13207666, 37, 53, 8
01-20, 8, 13206661, 37, 53, 8
01-20, 9, 13206649, 31, 68, 11
01-20, 9, 13205646, 32, 65, 11
01-20, 10, 13205638, 29, 70, 17
01-20, 10, 13204633, 28, 71, 17
01-20, 11, 13204614, 36, 80, 19
01-20, 11, 13203609, 36, 80, 19
01-20, 12, 13203602, 28, 92, 22
01-20, 12, 13202598, 28, 91, 22
01-20, 13, 13202588, 29, 93, 29
01-20, 13, 13201582, 30, 93, 29
01-20, 14, 13201564, 40, 100, 30
01-20, 14, 13200560, 40, 99, 30
01-20, 15, 13200543, 38, 115, 33
01-20, 15, 13199541, 36, 114, 33
01-20, 16, 13199519, 45, 123, 37
01-20, 16, 13198516, 43, 123, 37
01-20, 17, 13198503, 41, 133, 42
01-20, 17, 13197500, 39, 133, 42
01-20, 18, 13197488, 40, 141, 45
01-20, 18, 13196485, 38, 141, 45
01-20, 19, 13196470, 45, 144, 50
01-20, 19, 13195466, 44, 144, 50
01-20, 20, 13195450, 41, 157, 56
01-20, 20, 13194446, 40, 157, 56
01-20, 21, 13194430, 39, 166, 64
01-20, 21, 13193424, 40, 166, 64
01-20, 22, 13193401, 44, 182, 67
01-20, 22, 13192395, 44, 183, 67
01-20, 23, 13192378, 42, 196, 73
