Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218079, 0, 0, 0
01-20, 2, 19219976, 0, 0, 0
01-20, 3, 19219976, 0, 0, 0
01-20, 3, 19221873, 0, 0, 0
01-20, 4, 19221873, 0, 0, 0
01-20, 4, 19223770, 0, 0, 0
01-20, 5, 19223770, 0, 0, 0
01-20, 5, 19225667, 0, 0, 0
01-20, 6, 19225667, 0, 0, 0
01-20, 6, 19227564, 0, 0, 0
01-20, 7, 19227564, 0, 0, 0
01-20, 7, 19229461, 0, 0, 0
01-20, 8, 19229461, 0, 0, 0
01-20, 8, 19231358, 0, 0, 0
01-20, 9, 19231358, 0, 0, 0
01-20, 9, 19233255, 0, 0, 0
01-20, 10, 19233255, 0, 0, 0
01-20, 10, 19235152, 0, 0, 0
01-20, 11, 19235152, 0, 0, 0
01-20, 11, 19237049, 0, 0, 0
01-20, 12, 19237049, 0, 0, 0
01-20, 12, 19238946, 0, 0, 0
01-20, 13, 19238946, 0, 0, 0
01-20, 13, 19240843, 0, 0, 0
01-20, 14, 19240843, 0, 0, 0
01-20, 14, 19242740, 0, 0, 0
01-20, 15, 19242740, 0, 0, 0
01-20, 15, 19244637, 0, 0, 0
01-20, 16, 19244637, 0, 0, 0
01-20, 16, 19246534, 0, 0, 0
01-20, 17, 19246534, 0, 0, 0
01-20, 17, 19248431, 0, 0, 0
01-20, 18, 19248431, 0, 0, 0
01-20, 18, 19250328, 0, 0, 0
01-20, 19, 19250328, 0, 0, 0
01-20, 19, 19252225, 0, 0, 0
01-20, 20, 19252225, 0, 0, 0
01-20, 20, 19254122, 0, 0, 0
01-20, 21, 19254122, 0, 0, 0
01-20, 21, 19256019, 0, 0, 0
01-20, 22, 19256019, 0, 0, 0
01-20, 22, 19257916, 0, 0, 0
01-20, 23, 19257916, 0, 0, 0
01-20, 23, 19259813, 0, 0, 0
01-20, 24, 19259813, 0, 0, 0
01-20, 24, 19261710, 0, 0, 0
01-20, 25, 19261710, 0, 0, 0
01-20, 25, 19263607, 0, 0, 0
01-20, 26, 19263607, 0, 0, 0
01-20, 26, 19265504, 0, 0, 0
01-20, 27, 19265504, 0, 0, 0
01-20, 27, 19267401, 0, 0, 0
01-20, 28, 19267401, 0, 0, 0
01-20, 28, 19269298, 0, 0, 0
01-20, 29, 19269298, 0, 0, 0
01-20, 29, 19271195, 0, 0, 0
01-20, 30, 19271195, 0, 0, 0
01-20, 30, 19273092, 0, 0, 0
01-20, 31, 19273092, 0, 0, 0
Los Angeles-Long Beach-Anaheim CA MSA
01-20, 1, 13214799, 0, 0, 0
01-20, 1, 13213794, 0, 0, 0
01-20, 2, 13213794, 0, 0, 0
01-20, 2, 13212789, 0, 0, 0
01-20, 3, 13212789, 0, 0, 0
01-20, 3, 13211784, 0, 0, 0
01-20, 4, 13211784, 0, 0, 0
01-20, 4, 13210779, 0, 0, 0
01-20, 5, 13210779, 0, 0, 0
01-20, 5, 13209774, 0, 0, 0
01-20, 6, 13209774, 0, 0, 0
01-20, 6, 13208769, 0, 0, 0
01-20, 7, 13208769, 0, 0, 0
01-20, 7, 13207764, 0, 0, 0
01-20, 8, 13207764, 0, 0, 0
01-20, 8, 13206759, 0, 0, 0
01-20, 9, 13206759, 0, 0, 0
01-20, 9, 13205754, 0, 0, 0
01-20, 10, 13205754, 0, 0, 0
01-20, 10, 13204749, 0, 0, 0
01-20, 11, 13204749, 0, 0, 0
01-20, 11, 13203744, 0, 0, 0
01-20, 12, 13203744, 0, 0, 0
01-20, 12, 13202739, 0, 0, 0
01-20, 13, 13202739, 0, 0, 0
01-20, 13, 13201734, 0, 0, 0
01-20, 14, 13201734, 0, 0, 0
01-20, 14, 13200729, 0, 0, 0
01-20, 15, 13200729, 0, 0, 0
01-20, 15, 13199724, 0, 0, 0
01-20, 16, 13199724, 0, 0, 0
01-20, 16, 13198719, 0, 0, 0
01-20, 17, 13198719, 0, 0, 0
01-20, 17, 13197714, 0, 0, 0
01-20, 18, 13197714, 0, 0, 0
01-20, 18, 13196709, 0, 0, 0
01-20, 19, 13196709, 0, 0, 0
01-20, 19, 13195704, 0, 0, 0
01-20, 20, 13195704, 0, 0, 0
01-20, 20, 13194699, 0, 0, 0
01-20, 21, 13194699, 0, 0, 0
01-20, 21, 13193694, 0, 0, 0
01-20, 22, 13193694, 0, 0, 0
01-20, 22, 13192689, 0, 0, 0
01-20, 23, 13192689, 0, 0, 0
