"PASSENGERS","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","AIRCRAFT_TYPE","MONTH",
0.00,"H6","Hageland Aviation Service",14987,"SRV","Stony River, AK",10996,"CHU","Chuathbaluk, AK","035",4,
0.00,"H6","Hageland Aviation Service",14987,"SRV","Stony River, AK",14880,"SLQ","Sleetmute, AK","416",4,
0.00,"H6","Hageland Aviation Service",15085,"SXP","Sheldon Point, AK",12807,"KSM","St. Mary's, AK","416",4,
0.00,"H6","Hageland Aviation Service",15257,"TLT","Tuluksak, AK",10241,"AKI","Akiak, AK","035",4,
0.00,"H6","Hageland Aviation Service",15257,"TLT","Tuluksak, AK",10304,"ANI","Aniak, AK","416",4,
0.00,"H6","Hageland Aviation Service",15257,"TLT","Tuluksak, AK",10551,"BET","Bethel, AK","035",4,
0.00,"H6","Hageland Aviation Service",15257,"TLT","Tuluksak, AK",10551,"BET","Bethel, AK","416",4,
0.00,"H6","Hageland Aviation Service",15257,"TLT","Tuluksak, AK",14130,"PKA","Napaskiak, AK","035",4,
0.00,"H6","Hageland Aviation Service",15282,"TNK","Tununak, AK",13894,"OOK","Toksook, AK","035",4,
0.00,"H6","Hageland Aviation Service",15478,"UNK","Unalakleet, AK",10299,"ANC","Anchorage, AK","405",4,
0.00,"H6","Hageland Aviation Service",15478,"UNK","Unalakleet, AK",11535,"ELI","Elim, AK","194",4,
0.00,"H6","Hageland Aviation Service",15478,"UNK","Unalakleet, AK",11630,"FAI","Fairbanks, AK","405",4,
0.00,"H6","Hageland Aviation Service",15478,"UNK","Unalakleet, AK",11630,"FAI","Fairbanks, AK","405",4,
0.00,"H6","Hageland Aviation Service",15478,"UNK","Unalakleet, AK",11844,"GAL","Galena, AK","194",4,
0.00,"H6","Hageland Aviation Service",15478,"UNK","Unalakleet, AK",13196,"MCG","McGrath, AK","405",4,
0.00,"H6","Hageland Aviation Service",15478,"UNK","Unalakleet, AK",14895,"SMK","St. Michael, AK","405",4,
0.00,"H6","Hageland Aviation Service",15554,"VAK","Chevak, AK",10551,"BET","Bethel, AK","035",4,
0.00,"H6","Hageland Aviation Service",15554,"VAK","Chevak, AK",12807,"KSM","St. Mary's, AK","416",4,
0.00,"H6","Hageland Aviation Service",15554,"VAK","Chevak, AK",12807,"KSM","St. Mary's, AK","035",4,
0.00,"H6","Hageland Aviation Service",15554,"VAK","Chevak, AK",12831,"KUK","Kasigluk, AK","416",4,
0.00,"H6","Hageland Aviation Service",15554,"VAK","Chevak, AK",14718,"SCM","Scammon Bay, AK","416",4,
0.00,"H6","Hageland Aviation Service",15721,"WBB","Stebbins, AK",12807,"KSM","St. Mary's, AK","035",4,
0.00,"H6","Hageland Aviation Service",15794,"WMO","White Mountain, AK",13873,"OME","Nome, AK","416",4,
0.00,"H6","Hageland Aviation Service",15798,"WNA","Napakiak, AK",10551,"BET","Bethel, AK","416",4,
0.00,"H6","Hageland Aviation Service",15798,"WNA","Napakiak, AK",15257,"TLT","Tuluksak, AK","035",4,
0.00,"H6","Hageland Aviation Service",15861,"WTK","Noatak, AK",12844,"KVL","Kivalina, AK","194",4,
0.00,"H6","Hageland Aviation Service",15862,"WTL","Tuntutuliak, AK",12851,"KWK","Kwigillingok, AK","035",4,
0.00,"H6","Hageland Aviation Service",15862,"WTL","Tuntutuliak, AK",13770,"NUP","Nunapitchuk, AK","035",4,
0.00,"H6","Hageland Aviation Service",15862,"WTL","Tuntutuliak, AK",15798,"WNA","Napakiak, AK","035",4,
0.00,"J5","Kalinin Aviation LLC d/b/a Alaska Seaplanes",10204,"AGN","Angoon, AK",12610,"KAE","Kake, AK","035",4,
0.00,"J5","Kalinin Aviation LLC d/b/a Alaska Seaplanes",10204,"AGN","Angoon, AK",15231,"TKE","Tenakee, AK","035",4,
0.00,"J5","Kalinin Aviation LLC d/b/a Alaska Seaplanes",11545,"ELV","Elfin Cove, AK",12523,"JNU","Juneau, AK","035",4,
0.00,"J5","Kalinin Aviation LLC d/b/a Alaska Seaplanes",11619,"EXI","Excursion Inlet, AK",12171,"HNH","Hoonah, AK","035",4,
