PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,AIRCRAFT_TYPE,MONTH,
0.00,WN,Southwest Airlines Co.,15070,SWF,Newburgh/Poughkeepsie, NY,12191,HOU,Houston, TX,614,8,
0.00,H6,Hageland Aviation Service,10754,BRW,Barrow, AK,10396,ATK,Atqasuk, AK,416,8,
0.00,H6,Hageland Aviation Service,10754,BRW,Barrow, AK,13873,OME,Nome, AK,405,8,
0.00,H6,Hageland Aviation Service,10754,BRW,Barrow, AK,14102,PHO,Point Hope, AK,405,8,
0.00,H6,Hageland Aviation Service,10775,BTI,Barter Island, AK,10299,ANC,Anchorage, AK,405,8,
0.00,H6,Hageland Aviation Service,10775,BTI,Barter Island, AK,10754,BRW,Barrow, AK,405,8,
0.00,H6,Hageland Aviation Service,11028,CKD,Crooked Creek, AK,10996,CHU,Chuathbaluk, AK,035,8,
0.00,H6,Hageland Aviation Service,11227,CYF,Chefornak, AK,12807,KSM,St. Mary's, AK,035,8,
0.00,H6,Hageland Aviation Service,11336,DLG,Dillingham, AK,10551,BET,Bethel, AK,416,8,
0.00,H6,Hageland Aviation Service,11411,DRG,Deering, AK,10304,ANI,Aniak, AK,416,8,
0.00,H6,Hageland Aviation Service,11411,DRG,Deering, AK,13970,OTZ,Kotzebue, AK,416,8,
0.00,H6,Hageland Aviation Service,11492,EEK,Eek, AK,11952,GNU,Goodnews Bay, AK,035,8,
0.00,H6,Hageland Aviation Service,11492,EEK,Eek, AK,12855,KWT,Kwethluk, AK,035,8,
0.00,H6,Hageland Aviation Service,11550,EMK,Emmonak, AK,12807,KSM,St. Mary's, AK,405,8,
0.00,H6,Hageland Aviation Service,11550,EMK,Emmonak, AK,15554,VAK,Chevak, AK,416,8,
0.00,H6,Hageland Aviation Service,11555,ENA,Kenai, AK,10299,ANC,Anchorage, AK,405,8,
0.00,H6,Hageland Aviation Service,11555,ENA,Kenai, AK,14013,PAQ,Palmer, AK,416,8,
0.00,H6,Hageland Aviation Service,11630,FAI,Fairbanks, AK,10184,AET,Allakaket, AK,405,8,
0.00,H6,Hageland Aviation Service,11630,FAI,Fairbanks, AK,10396,ATK,Atqasuk, AK,405,8,
0.00,H6,Hageland Aviation Service,11630,FAI,Fairbanks, AK,10754,BRW,Barrow, AK,405,8,
0.00,H6,Hageland Aviation Service,11630,FAI,Fairbanks, AK,12720,KLL,Levelock, AK,194,8,
0.00,H6,Hageland Aviation Service,11630,FAI,Fairbanks, AK,14709,SCC,Deadhorse, AK,405,8,
0.00,H6,Hageland Aviation Service,11630,FAI,Fairbanks, AK,14709,SCC,Deadhorse, AK,405,8,
0.00,H6,Hageland Aviation Service,11630,FAI,Fairbanks, AK,15086,SXQ,Soldotna, AK,405,8,
0.00,H6,Hageland Aviation Service,11630,FAI,Fairbanks, AK,15086,SXQ,Soldotna, AK,405,8,
0.00,H6,Hageland Aviation Service,11813,FVQ,Donlin Creek Mine, AK,10304,ANI,Aniak, AK,035,8,
0.00,H6,Hageland Aviation Service,11844,GAL,Galena, AK,12214,HSL,Huslia, AK,416,8,
0.00,H6,Hageland Aviation Service,11844,GAL,Galena, AK,15478,UNK,Unalakleet, AK,405,8,
0.00,H6,Hageland Aviation Service,11845,GAM,Gambell, AK,13873,OME,Nome, AK,405,8,
0.00,H6,Hageland Aviation Service,11845,GAM,Gambell, AK,13970,OTZ,Kotzebue, AK,405,8,
0.00,H6,Hageland Aviation Service,11941,GLV,Golovin, AK,15478,UNK,Unalakleet, AK,194,8,
0.00,H6,Hageland Aviation Service,11952,GNU,Goodnews Bay, AK,12853,KWN,Quinhagak, AK,416,8,
