"PASSENGERS","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","AIRCRAFT_TYPE","MONTH",
0.00,"KE","Korean Air Lines Co. Ltd.",13930,"ORD","Chicago, IL",10397,"ATL","Atlanta, GA","819",12,
0.00,"KE","Korean Air Lines Co. Ltd.",13930,"ORD","Chicago, IL",10397,"ATL","Atlanta, GA","821",12,
0.00,"KE","Korean Air Lines Co. Ltd.",13930,"ORD","Chicago, IL",12892,"LAX","Los Angeles, CA","683",12,
0.00,"KE","Korean Air Lines Co. Ltd.",13930,"ORD","Chicago, IL",12892,"LAX","Los Angeles, CA","821",12,
0.00,"KE","Korean Air Lines Co. Ltd.",13930,"ORD","Chicago, IL",14747,"SEA","Seattle, WA","819",12,
0.00,"KE","Korean Air Lines Co. Ltd.",13930,"ORD","Chicago, IL",14747,"SEA","Seattle, WA","821",12,
0.00,"KE","Korean Air Lines Co. Ltd.",13930,"ORD","Chicago, IL",14747,"SEA","Seattle, WA","819",12,
0.00,"G3","VRG Linhas Aereas S A",15570,"VCV","Victorville, CA",13303,"MIA","Miami, FL","612",12,
0.00,"1SQ","Star Marianas Air Inc.",12016,"GUM","Guam, TT",14582,"ROP","Rota, TT","079",12,
0.00,"1SQ","Star Marianas Air Inc.",12016,"GUM","Guam, TT",14582,"ROP","Rota, TT","194",12,
0.00,"1SQ","Star Marianas Air Inc.",12016,"GUM","Guam, TT",14955,"SPN","Saipan, TT","079",12,
0.00,"1SQ","Star Marianas Air Inc.",12016,"GUM","Guam, TT",14955,"SPN","Saipan, TT","079",12,
0.00,"1SQ","Star Marianas Air Inc.",12016,"GUM","Guam, TT",15215,"TIQ","Tinian, TT","079",12,
0.00,"1SQ","Star Marianas Air Inc.",14582,"ROP","Rota, TT",12016,"GUM","Guam, TT","079",12,
0.00,"1SQ","Star Marianas Air Inc.",14582,"ROP","Rota, TT",12016,"GUM","Guam, TT","194",12,
0.00,"1SQ","Star Marianas Air Inc.",14582,"ROP","Rota, TT",14955,"SPN","Saipan, TT","079",12,
0.00,"1SQ","Star Marianas Air Inc.",14582,"ROP","Rota, TT",14955,"SPN","Saipan, TT","194",12,
0.00,"1SQ","Star Marianas Air Inc.",14582,"ROP","Rota, TT",15215,"TIQ","Tinian, TT","194",12,
0.00,"1SQ","Star Marianas Air Inc.",14955,"SPN","Saipan, TT",12016,"GUM","Guam, TT","079",12,
0.00,"1SQ","Star Marianas Air Inc.",14955,"SPN","Saipan, TT",14582,"ROP","Rota, TT","194",12,
0.00,"1SQ","Star Marianas Air Inc.",15215,"TIQ","Tinian, TT",14582,"ROP","Rota, TT","194",12,
0.00,"5X","United Parcel Service",10140,"ABQ","Albuquerque, NM",11298,"DFW","Dallas/Fort Worth, TX","622",12,
0.00,"5X","United Parcel Service",10140,"ABQ","Albuquerque, NM",11540,"ELP","El Paso, TX","622",12,
0.00,"5X","United Parcel Service",10140,"ABQ","Albuquerque, NM",11540,"ELP","El Paso, TX","626",12,
0.00,"5X","United Parcel Service",10140,"ABQ","Albuquerque, NM",11540,"ELP","El Paso, TX","691",12,
0.00,"5X","United Parcel Service",10140,"ABQ","Albuquerque, NM",13891,"ONT","Ontario, CA","622",12,
0.00,"5X","United Parcel Service",10140,"ABQ","Albuquerque, NM",13891,"ONT","Ontario, CA","626",12,
0.00,"5X","United Parcel Service",10140,"ABQ","Albuquerque, NM",13891,"ONT","Ontario, CA","691",12,
0.00,"5X","United Parcel Service",10140,"ABQ","Albuquerque, NM",14107,"PHX","Phoenix, AZ","622",12,
0.00,"5X","United Parcel Service",10140,"ABQ","Albuquerque, NM",14107,"PHX","Phoenix, AZ","626",12,
0.00,"5X","United Parcel Service",10140,"ABQ","Albuquerque, NM",14107,"PHX","Phoenix, AZ","691",12,
0.00,"5X","United Parcel Service",10140,"ABQ","Albuquerque, NM",14691,"SBD","San Bernardino, CA","622",12,
0.00,"5X","United Parcel Service",10140,"ABQ","Albuquerque, NM",14730,"SDF","Louisville, KY","622",12,
0.00,"5X","United Parcel Service",10140,"ABQ","Albuquerque, NM",14730,"SDF","Louisville, KY","691",12,
0.00,"5X","United Parcel Service",10146,"ABY","Albany, GA",11057,"CLT","Charlotte, NC","622",12,
0.00,"5X","United Parcel Service",10146,"ABY","Albany, GA",13303,"MIA","Miami, FL","622",12,
0.00,"5X","United Parcel Service",10146,"ABY","Albany, GA",13495,"MSY","New Orleans, LA","691",12,
0.00,"5X","United Parcel Service",10146,"ABY","Albany, GA",14027,"PBI","West Palm Beach/Palm Beach, FL","622",12,
0.00,"5X","United Parcel Service",10146,"ABY","Albany, GA",14193,"PNS","Pensacola, FL","622",12,
0.00,"5X","United Parcel Service",10146,"ABY","Albany, GA",14193,"PNS","Pensacola, FL","691",12,
0.00,"5X","United Parcel Service",10146,"ABY","Albany, GA",14730,"SDF","Louisville, KY","622",12,
0.00,"5X","United Parcel Service",10146,"ABY","Albany, GA",14730,"SDF","Louisville, KY","691",12,
0.00,"5X","United Parcel Service",10146,"ABY","Albany, GA",15304,"TPA","Tampa, FL","622",12,
0.00,"5X","United Parcel Service",10257,"ALB","Albany, NY",13296,"MHT","Manchester, NH","626",12,
0.00,"5X","United Parcel Service",10257,"ALB","Albany, NY",13931,"ORF","Norfolk, VA","622",12,
0.00,"5X","United Parcel Service",10257,"ALB","Albany, NY",14100,"PHL","Philadelphia, PA","622",12,
0.00,"5X","United Parcel Service",10257,"ALB","Albany, NY",14307,"PVD","Providence, RI","622",12,
0.00,"5X","United Parcel Service",10257,"ALB","Albany, NY",14730,"SDF","Louisville, KY","622",12,
