PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,AIRCRAFT_TYPE,MONTH,
0.00,WN,Southwest Airlines Co.,14307,PVD,Providence, RI,12391,ISP,Islip, NY,612,7,
0.00,EM,Empire Airlines Inc.,10140,ABQ,Albuquerque, NM,11413,DRO,Durango, CO,416,7,
0.00,EM,Empire Airlines Inc.,10140,ABQ,Albuquerque, NM,11711,FMN,Farmington, NM,416,7,
0.00,EM,Empire Airlines Inc.,10194,AFW,Dallas/Fort Worth, TX,12278,ICT,Wichita, KS,442,7,
0.00,EM,Empire Airlines Inc.,10194,AFW,Dallas/Fort Worth, TX,12896,LBB,Lubbock, TX,442,7,
0.00,EM,Empire Airlines Inc.,10194,AFW,Dallas/Fort Worth, TX,13158,MAF,Midland/Odessa, TX,441,7,
0.00,EM,Empire Airlines Inc.,10194,AFW,Dallas/Fort Worth, TX,15370,TUL,Tulsa, OK,441,7,
0.00,EM,Empire Airlines Inc.,10194,AFW,Dallas/Fort Worth, TX,15370,TUL,Tulsa, OK,442,7,
0.00,EM,Empire Airlines Inc.,10299,ANC,Anchorage, AK,11555,ENA,Kenai, AK,416,7,
0.00,EM,Empire Airlines Inc.,10299,ANC,Anchorage, AK,11630,FAI,Fairbanks, AK,442,7,
0.00,EM,Empire Airlines Inc.,10299,ANC,Anchorage, AK,12184,HOM,Homer, AK,416,7,
0.00,EM,Empire Airlines Inc.,10666,BLI,Bellingham, WA,11762,FRD,Friday Harbor, WA,416,7,
0.00,EM,Empire Airlines Inc.,10666,BLI,Bellingham, WA,14747,SEA,Seattle, WA,416,7,
0.00,1YQ,Air Charter Inc d/b/a Air Flamenco,11126,CPX,Culebra, PR,15626,VQS,Vieques, PR,131,7,
0.00,1YQ,Air Charter Inc d/b/a Air Flamenco,14819,SIG,San Juan, PR,11126,CPX,Culebra, PR,131,7,
0.00,1YQ,Air Charter Inc d/b/a Air Flamenco,14819,SIG,San Juan, PR,15626,VQS,Vieques, PR,131,7,
0.00,1YQ,Air Charter Inc d/b/a Air Flamenco,14843,SJU,San Juan, PR,15024,STT,Charlotte Amalie, VI,131,7,
0.00,1YQ,Air Charter Inc d/b/a Air Flamenco,14843,SJU,San Juan, PR,15024,STT,Charlotte Amalie, VI,489,7,
0.00,1YQ,Air Charter Inc d/b/a Air Flamenco,14843,SJU,San Juan, PR,15027,STX,Christiansted, VI,131,7,
0.00,1YQ,Air Charter Inc d/b/a Air Flamenco,14843,SJU,San Juan, PR,15027,STX,Christiansted, VI,489,7,
0.00,1YQ,Air Charter Inc d/b/a Air Flamenco,15626,VQS,Vieques, PR,11126,CPX,Culebra, PR,131,7,
0.00,1YQ,Air Charter Inc d/b/a Air Flamenco,15626,VQS,Vieques, PR,14819,SIG,San Juan, PR,131,7,
0.00,B6,JetBlue Airways,10721,BOS,Boston, MA,10466,AZA,Phoenix, AZ,694,7,
0.00,EV,ExpressJet Airlines LLC,10732,BQN,Aguadilla, PR,12266,IAH,Houston, TX,673,7,
0.00,EV,ExpressJet Airlines LLC,10732,BQN,Aguadilla, PR,13203,MCN,Macon, GA,673,7,
0.00,EV,ExpressJet Airlines LLC,11042,CLE,Cleveland, OH,10792,BUF,Buffalo, NY,675,7,
0.00,EV,ExpressJet Airlines LLC,11042,CLE,Cleveland, OH,12278,ICT,Wichita, KS,675,7,
0.00,EV,ExpressJet Airlines LLC,11042,CLE,Cleveland, OH,14524,RIC,Richmond, VA,675,7,
0.00,EV,ExpressJet Airlines LLC,11066,CMH,Columbus, OH,10874,CAK,Akron, OH,675,7,
0.00,EV,ExpressJet Airlines LLC,11066,CMH,Columbus, OH,11193,CVG,Cincinnati, OH,675,7,
0.00,EV,ExpressJet Airlines LLC,11066,CMH,Columbus, OH,11267,DAY,Dayton, OH,675,7,
0.00,EV,ExpressJet Airlines LLC,11140,CRP,Corpus Christi, TX,11049,CLL,College Station/Bryan, TX,675,7,
0.00,EV,ExpressJet Airlines LLC,11193,CVG,Cincinnati, OH,11042,CLE,Cleveland, OH,675,7,
0.00,EV,ExpressJet Airlines LLC,11193,CVG,Cincinnati, OH,11267,DAY,Dayton, OH,675,7,
0.00,EV,ExpressJet Airlines LLC,11193,CVG,Cincinnati, OH,15016,STL,St. Louis, MO,675,7,
0.00,EV,ExpressJet Airlines LLC,11278,DCA,Washington, DC,11995,GSO,Greensboro/High Point, NC,675,7,
0.00,EV,ExpressJet Airlines LLC,11618,EWR,Newark, NJ,12266,IAH,Houston, TX,675,7,
0.00,EV,ExpressJet Airlines LLC,11618,EWR,Newark, NJ,13930,ORD,Chicago, IL,675,7,
0.00,EV,ExpressJet Airlines LLC,11977,GRB,Green Bay, WI,12217,HSV,Huntsville, AL,675,7,
0.00,EV,ExpressJet Airlines LLC,11995,GSO,Greensboro/High Point, NC,15016,STL,St. Louis, MO,675,7,
0.00,EV,ExpressJet Airlines LLC,11996,GSP,Greer, SC,11995,GSO,Greensboro/High Point, NC,675,7,
0.00,EV,ExpressJet Airlines LLC,11996,GSP,Greer, SC,15412,TYS,Knoxville, TN,675,7,
0.00,EV,ExpressJet Airlines LLC,12206,HRL,Harlingen/San Benito, TX,13377,MLU,Monroe, LA,675,7,
0.00,EV,ExpressJet Airlines LLC,12266,IAH,Houston, TX,13203,MCN,Macon, GA,673,7,
0.00,EV,ExpressJet Airlines LLC,12266,IAH,Houston, TX,13930,ORD,Chicago, IL,673,7,
0.00,EV,ExpressJet Airlines LLC,12278,ICT,Wichita, KS,11042,CLE,Cleveland, OH,675,7,
0.00,EV,ExpressJet Airlines LLC,12278,ICT,Wichita, KS,12339,IND,Indianapolis, IN,675,7,
0.00,EV,ExpressJet Airlines LLC,12339,IND,Indianapolis, IN,10693,BNA,Nashville, TN,675,7,
0.00,EV,ExpressJet Airlines LLC,12339,IND,Indianapolis, IN,13485,MSN,Madison, WI,675,7,
0.00,EV,ExpressJet Airlines LLC,12945,LEX,Lexington, KY,15370,TUL,Tulsa, OK,675,7,
0.00,EV,ExpressJet Airlines LLC,13029,LNK,Lincoln, NE,13485,MSN,Madison, WI,675,7,
0.00,EV,ExpressJet Airlines LLC,13029,LNK,Lincoln, NE,14524,RIC,Richmond, VA,675,7,
0.00,EV,ExpressJet Airlines LLC,13203,MCN,Macon, GA,12266,IAH,Houston, TX,673,7,
0.00,EV,ExpressJet Airlines LLC,13203,MCN,Macon, GA,15412,TYS,Knoxville, TN,673,7,
0.00,EV,ExpressJet Airlines LLC,13342,MKE,Milwaukee, WI,10693,BNA,Nashville, TN,675,7,
0.00,EV,ExpressJet Airlines LLC,13485,MSN,Madison, WI,11996,GSP,Greer, SC,675,7,
0.00,EV,ExpressJet Airlines LLC,13487,MSP,Minneapolis, MN,11057,CLT,Charlotte, NC,673,7,
0.00,EV,ExpressJet Airlines LLC,13577,MYR,Myrtle Beach, SC,14524,RIC,Richmond, VA,675,7,
0.00,EV,ExpressJet Airlines LLC,13930,ORD,Chicago, IL,12266,IAH,Houston, TX,675,7,
0.00,EV,ExpressJet Airlines LLC,13931,ORF,Norfolk, VA,14307,PVD,Providence, RI,675,7,
0.00,EV,ExpressJet Airlines LLC,14524,RIC,Richmond, VA,10693,BNA,Nashville, TN,675,7,
0.00,EV,ExpressJet Airlines LLC,14524,RIC,Richmond, VA,10874,CAK,Akron, OH,675,7,
0.00,EV,ExpressJet Airlines LLC,14524,RIC,Richmond, VA,12266,IAH,Houston, TX,675,7,
0.00,EV,ExpressJet Airlines LLC,15016,STL,St. Louis, MO,11721,FNT,Flint, MI,675,7,
0.00,EV,ExpressJet Airlines LLC,15016,STL,St. Louis, MO,14307,PVD,Providence, RI,675,7,
0.00,EV,ExpressJet Airlines LLC,15380,TVC,Traverse City, MI,13930,ORD,Chicago, IL,675,7,
0.00,EV,ExpressJet Airlines LLC,15412,TYS,Knoxville, TN,10257,ALB,Albany, NY,675,7,
0.00,EV,ExpressJet Airlines LLC,15412,TYS,Knoxville, TN,11996,GSP,Greer, SC,675,7,
0.00,EV,ExpressJet Airlines LLC,15412,TYS,Knoxville, TN,13203,MCN,Macon, GA,673,7,
0.00,FX,Federal Express Corporation,13796,OAK,Oakland, CA,13244,MEM,Memphis, TN,732,7,
0.00,FX,Federal Express Corporation,13796,OAK,Oakland, CA,13244,MEM,Memphis, TN,740,7,
0.00,FX,Federal Express Corporation,13796,OAK,Oakland, CA,13476,MRY,Monterey, CA,416,7,
0.00,FX,Federal Express Corporation,13796,OAK,Oakland, CA,13891,ONT,Ontario, CA,626,7,
0.00,FX,Federal Express Corporation,13796,OAK,Oakland, CA,13891,ONT,Ontario, CA,730,7,
0.00,FX,Federal Express Corporation,13796,OAK,Oakland, CA,13891,ONT,Ontario, CA,732,7,
0.00,FX,Federal Express Corporation,13796,OAK,Oakland, CA,13891,ONT,Ontario, CA,740,7,
0.00,FX,Federal Express Corporation,13796,OAK,Oakland, CA,13930,ORD,Chicago, IL,626,7,
0.00,FX,Federal Express Corporation,13796,OAK,Oakland, CA,14057,PDX,Portland, OR,740,7,
0.00,FX,Federal Express Corporation,13796,OAK,Oakland, CA,14107,PHX,Phoenix, AZ,626,7,
0.00,FX,Federal Express Corporation,13796,OAK,Oakland, CA,14107,PHX,Phoenix, AZ,691,7,
0.00,FX,Federal Express Corporation,13796,OAK,Oakland, CA,14570,RNO,Reno, NV,622,7,
0.00,FX,Federal Express Corporation,13796,OAK,Oakland, CA,14679,SAN,San Diego, CA,622,7,
0.00,FX,Federal Express Corporation,13796,OAK,Oakland, CA,14747,SEA,Seattle, WA,730,7,
0.00,FX,Federal Express Corporation,13796,OAK,Oakland, CA,14747,SEA,Seattle, WA,740,7,
0.00,FX,Federal Express Corporation,13796,OAK,Oakland, CA,14869,SLC,Salt Lake City, UT,691,7,
0.00,FX,Federal Express Corporation,13796,OAK,Oakland, CA,14922,SNS,Salinas/Monterey, CA,416,7,
0.00,FX,Federal Express Corporation,13796,OAK,Oakland, CA,15601,VIS,Visalia, CA,416,7,
0.00,FX,Federal Express Corporation,13851,OKC,Oklahoma City, OK,13244,MEM,Memphis, TN,622,7,
0.00,FX,Federal Express Corporation,13851,OKC,Oklahoma City, OK,13244,MEM,Memphis, TN,691,7,
0.00,FX,Federal Express Corporation,13851,OKC,Oklahoma City, OK,15370,TUL,Tulsa, OK,691,7,
0.00,FX,Federal Express Corporation,13862,OLF,Wolf Point, MT,12003,GTF,Great Falls, MT,416,7,
0.00,FX,Federal Express Corporation,13871,OMA,Omaha, NE,11468,EAR,Kearney, NE,416,7,
