PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,AIRCRAFT_TYPE,MONTH,
0.00,UA,United Air Lines Inc.,12892,LAX,Los Angeles, CA,14679,SAN,San Diego, CA,614,6,
0.00,UA,United Air Lines Inc.,14635,RSW,Fort Myers, FL,13930,ORD,Chicago, IL,698,6,
0.00,V8,Iliamna Air Taxi,10245,AKN,King Salmon, AK,12294,IGG,Igiugig, AK,035,6,
0.00,V8,Iliamna Air Taxi,10245,AKN,King Salmon, AK,12321,ILI,Iliamna, AK,010,6,
0.00,V8,Iliamna Air Taxi,10245,AKN,King Salmon, AK,12321,ILI,Iliamna, AK,479,6,
0.00,V8,Iliamna Air Taxi,10245,AKN,King Salmon, AK,15853,WSN,South Naknek, AK,479,6,
0.00,V8,Iliamna Air Taxi,10299,ANC,Anchorage, AK,12321,ILI,Iliamna, AK,479,6,
0.00,V8,Iliamna Air Taxi,10299,ANC,Anchorage, AK,14167,PML,Port Moller, AK,479,6,
0.00,V8,Iliamna Air Taxi,10299,ANC,Anchorage, AK,15160,TCT,Takotna, AK,479,6,
0.00,V8,Iliamna Air Taxi,10299,ANC,Anchorage, AK,15881,WWA,Wasilla, AK,479,6,
0.00,V8,Iliamna Air Taxi,11336,DLG,Dillingham, AK,12294,IGG,Igiugig, AK,479,6,
0.00,V8,Iliamna Air Taxi,11336,DLG,Dillingham, AK,12321,ILI,Iliamna, AK,010,6,
0.00,V8,Iliamna Air Taxi,11336,DLG,Dillingham, AK,12321,ILI,Iliamna, AK,035,6,
0.00,V8,Iliamna Air Taxi,11336,DLG,Dillingham, AK,12321,ILI,Iliamna, AK,479,6,
0.00,V8,Iliamna Air Taxi,11445,DUT,Unalaska, AK,10299,ANC,Anchorage, AK,479,6,
0.00,V8,Iliamna Air Taxi,11511,EGX,Egegik, AK,12748,KNK,Kokhanok, AK,479,6,
0.00,V8,Iliamna Air Taxi,12184,HOM,Homer, AK,12321,ILI,Iliamna, AK,117,6,
0.00,V8,Iliamna Air Taxi,12184,HOM,Homer, AK,12321,ILI,Iliamna, AK,479,6,
0.00,V8,Iliamna Air Taxi,12321,ILI,Iliamna, AK,10245,AKN,King Salmon, AK,117,6,
0.00,V8,Iliamna Air Taxi,12321,ILI,Iliamna, AK,11336,DLG,Dillingham, AK,479,6,
0.00,V8,Iliamna Air Taxi,12321,ILI,Iliamna, AK,12087,HCR,Holy Cross, AK,479,6,
0.00,V8,Iliamna Air Taxi,12321,ILI,Iliamna, AK,12294,IGG,Igiugig, AK,479,6,
0.00,V8,Iliamna Air Taxi,12321,ILI,Iliamna, AK,12748,KNK,Kokhanok, AK,010,6,
0.00,V8,Iliamna Air Taxi,12321,ILI,Iliamna, AK,12755,KNW,New Stuyahok, AK,010,6,
0.00,V8,Iliamna Air Taxi,12321,ILI,Iliamna, AK,13715,NNL,Nondalton, AK,035,6,
0.00,V8,Iliamna Air Taxi,12321,ILI,Iliamna, AK,13715,NNL,Nondalton, AK,035,6,
0.00,V8,Iliamna Air Taxi,12321,ILI,Iliamna, AK,14046,PDB,Pedro Bay, AK,010,6,
0.00,V8,Iliamna Air Taxi,12321,ILI,Iliamna, AK,14046,PDB,Pedro Bay, AK,010,6,
0.00,V8,Iliamna Air Taxi,12321,ILI,Iliamna, AK,14167,PML,Port Moller, AK,479,6,
0.00,V8,Iliamna Air Taxi,12321,ILI,Iliamna, AK,14268,PTA,Port Alsworth, AK,035,6,
0.00,V8,Iliamna Air Taxi,12653,KEK,Ekwok, AK,12321,ILI,Iliamna, AK,479,6,
0.00,V8,Iliamna Air Taxi,12671,KGK,Koliganek, AK,11336,DLG,Dillingham, AK,010,6,
0.00,V8,Iliamna Air Taxi,12748,KNK,Kokhanok, AK,12321,ILI,Iliamna, AK,479,6,
0.00,V8,Iliamna Air Taxi,12841,KVC,King Cove, AK,12321,ILI,Iliamna, AK,479,6,
0.00,V8,Iliamna Air Taxi,12841,KVC,King Cove, AK,14167,PML,Port Moller, AK,479,6,
0.00,V8,Iliamna Air Taxi,13714,NNK,Naknek, AK,12321,ILI,Iliamna, AK,010,6,
0.00,V8,Iliamna Air Taxi,13715,NNL,Nondalton, AK,12321,ILI,Iliamna, AK,035,6,
0.00,V8,Iliamna Air Taxi,13715,NNL,Nondalton, AK,12321,ILI,Iliamna, AK,010,6,
0.00,V8,Iliamna Air Taxi,14046,PDB,Pedro Bay, AK,12321,ILI,Iliamna, AK,010,6,
0.00,V8,Iliamna Air Taxi,14119,PIP,Pilot Point, AK,12321,ILI,Iliamna, AK,010,6,
0.00,V8,Iliamna Air Taxi,14119,PIP,Pilot Point, AK,12321,ILI,Iliamna, AK,479,6,
0.00,V8,Iliamna Air Taxi,14167,PML,Port Moller, AK,10299,ANC,Anchorage, AK,479,6,
0.00,V8,Iliamna Air Taxi,14167,PML,Port Moller, AK,12321,ILI,Iliamna, AK,479,6,
0.00,V8,Iliamna Air Taxi,14268,PTA,Port Alsworth, AK,12321,ILI,Iliamna, AK,035,6,
0.00,V8,Iliamna Air Taxi,15160,TCT,Takotna, AK,10299,ANC,Anchorage, AK,479,6,
0.00,V8,Iliamna Air Taxi,15853,WSN,South Naknek, AK,12321,ILI,Iliamna, AK,010,6,
0.00,V8,Iliamna Air Taxi,15881,WWA,Wasilla, AK,10299,ANC,Anchorage, AK,479,6,
0.00,X4,Air Excursions LLC,11619,EXI,Excursion Inlet, AK,11997,GST,Gustavus, AK,035,6,
0.00,Z3,Bidzy Ta Hot Aana Inc. d/b/a Tanana Air Service,11336,DLG,Dillingham, AK,15293,TOG,Togiak, AK,194,6,
0.00,Z3,Bidzy Ta Hot Aana Inc. d/b/a Tanana Air Service,12653,KEK,Ekwok, AK,12720,KLL,Levelock, AK,035,6,
0.00,Z3,Bidzy Ta Hot Aana Inc. d/b/a Tanana Air Service,12671,KGK,Koliganek, AK,12653,KEK,Ekwok, AK,035,6,
0.00,Z3,Bidzy Ta Hot Aana Inc. d/b/a Tanana Air Service,12671,KGK,Koliganek, AK,12720,KLL,Levelock, AK,035,6,
0.00,Z3,Bidzy Ta Hot Aana Inc. d/b/a Tanana Air Service,12720,KLL,Levelock, AK,12653,KEK,Ekwok, AK,079,6,
0.00,Z3,Bidzy Ta Hot Aana Inc. d/b/a Tanana Air Service,12720,KLL,Levelock, AK,12755,KNW,New Stuyahok, AK,035,6,
0.00,Z3,Bidzy Ta Hot Aana Inc. d/b/a Tanana Air Service,12755,KNW,New Stuyahok, AK,11336,DLG,Dillingham, AK,194,6,
0.00,Z3,Bidzy Ta Hot Aana Inc. d/b/a Tanana Air Service,14119,PIP,Pilot Point, AK,11336,DLG,Dillingham, AK,194,6,
0.00,22Q,Gem Air LLC,10713,BOI,Boise, ID,14897,SMN,Salmon, ID,035,6,
0.00,22Q,Gem Air LLC,10713,BOI,Boise, ID,14897,SMN,Salmon, ID,194,6,
0.00,22Q,Gem Air LLC,10713,BOI,Boise, ID,14897,SMN,Salmon, ID,416,6,
0.00,22Q,Gem Air LLC,14897,SMN,Salmon, ID,10713,BOI,Boise, ID,035,6,
0.00,22Q,Gem Air LLC,14897,SMN,Salmon, ID,10713,BOI,Boise, ID,194,6,
0.00,22Q,Gem Air LLC,14897,SMN,Salmon, ID,10713,BOI,Boise, ID,416,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,10140,ABQ,Albuquerque, NM,13244,MEM,Memphis, TN,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,10185,AEX,Alexandria, LA,10747,BRO,Brownsville, TX,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,10397,ATL,Atlanta, GA,10185,AEX,Alexandria, LA,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,10466,AZA,Phoenix, AZ,13244,MEM,Memphis, TN,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,10747,BRO,Brownsville, TX,10185,AEX,Alexandria, LA,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,10747,BRO,Brownsville, TX,10747,BRO,Brownsville, TX,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,10747,BRO,Brownsville, TX,10792,BUF,Buffalo, NY,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,10747,BRO,Brownsville, TX,11150,CSG,Columbus, GA,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,10747,BRO,Brownsville, TX,11335,DLF,Del Rio, TX,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,10747,BRO,Brownsville, TX,11540,ELP,El Paso, TX,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,10747,BRO,Brownsville, TX,11618,EWR,Newark, NJ,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,10747,BRO,Brownsville, TX,12266,IAH,Houston, TX,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,10747,BRO,Brownsville, TX,12278,ICT,Wichita, KS,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,10747,BRO,Brownsville, TX,13061,LRD,Laredo, TX,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,10747,BRO,Brownsville, TX,13230,MDT,Harrisburg, PA,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,10747,BRO,Brownsville, TX,13244,MEM,Memphis, TN,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,10747,BRO,Brownsville, TX,13303,MIA,Miami, FL,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,10747,BRO,Brownsville, TX,13898,OPF,Miami, FL,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,10747,BRO,Brownsville, TX,14679,SAN,San Diego, CA,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,10747,BRO,Brownsville, TX,14683,SAT,San Antonio, TX,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,10747,BRO,Brownsville, TX,15295,TOL,Toledo, OH,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,10792,BUF,Buffalo, NY,14307,PVD,Providence, RI,655,6,
