PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,AIRCRAFT_TYPE,MONTH,
0.00,ELL,Ellis Air Taxi Inc.,11924,GKN,Gulkana, AK,13574,MYK,May Creek, AK,035,3,
0.00,EV,ExpressJet Airlines LLC,10140,ABQ,Albuquerque, NM,11982,GRK,Killeen, TX,675,3,
0.00,EV,ExpressJet Airlines LLC,10257,ALB,Albany, NY,11042,CLE,Cleveland, OH,675,3,
0.00,EV,ExpressJet Airlines LLC,10693,BNA,Nashville, TN,15412,TYS,Knoxville, TN,629,3,
0.00,EV,ExpressJet Airlines LLC,10781,BTR,Baton Rouge, LA,11042,CLE,Cleveland, OH,629,3,
0.00,EV,ExpressJet Airlines LLC,10781,BTR,Baton Rouge, LA,13930,ORD,Chicago, IL,629,3,
0.00,EV,ExpressJet Airlines LLC,10785,BTV,Burlington, VT,11042,CLE,Cleveland, OH,675,3,
0.00,EV,ExpressJet Airlines LLC,10792,BUF,Buffalo, NY,10874,CAK,Akron, OH,675,3,
0.00,EV,ExpressJet Airlines LLC,10994,CHS,Charleston, SC,14524,RIC,Richmond, VA,629,3,
0.00,EV,ExpressJet Airlines LLC,11003,CID,Cedar Rapids/Iowa City, IA,14633,RST,Rochester, MN,629,3,
0.00,EV,ExpressJet Airlines LLC,11042,CLE,Cleveland, OH,13931,ORF,Norfolk, VA,629,3,
0.00,EV,ExpressJet Airlines LLC,11111,COU,Columbia, MO,15412,TYS,Knoxville, TN,629,3,
0.00,EV,ExpressJet Airlines LLC,11278,DCA,Washington, DC,10581,BGR,Bangor, ME,675,3,
0.00,EV,ExpressJet Airlines LLC,11278,DCA,Washington, DC,11986,GRR,Grand Rapids, MI,675,3,
0.00,EV,ExpressJet Airlines LLC,12266,IAH,Houston, TX,10257,ALB,Albany, NY,675,3,
0.00,EV,ExpressJet Airlines LLC,12266,IAH,Houston, TX,13930,ORD,Chicago, IL,629,3,
0.00,EV,ExpressJet Airlines LLC,12278,ICT,Wichita, KS,10781,BTR,Baton Rouge, LA,629,3,
0.00,WN,Southwest Airlines Co.,10257,ALB,Albany, NY,15304,TPA,Tampa, FL,838,3,
0.00,WN,Southwest Airlines Co.,10397,ATL,Atlanta, GA,12264,IAD,Washington, DC,838,3,
0.00,WN,Southwest Airlines Co.,10397,ATL,Atlanta, GA,14492,RDU,Raleigh/Durham, NC,838,3,
0.00,WN,Southwest Airlines Co.,10529,BDL,Hartford, CT,11697,FLL,Fort Lauderdale, FL,838,3,
0.00,WN,Southwest Airlines Co.,10693,BNA,Nashville, TN,12953,LGA,New York, NY,838,3,
0.00,WN,Southwest Airlines Co.,10821,BWI,Baltimore, MD,13232,MDW,Chicago, IL,838,3,
0.00,WN,Southwest Airlines Co.,10821,BWI,Baltimore, MD,14635,RSW,Fort Myers, FL,838,3,
0.00,WN,Southwest Airlines Co.,10821,BWI,Baltimore, MD,14869,SLC,Salt Lake City, UT,838,3,
0.00,WN,Southwest Airlines Co.,10994,CHS,Charleston, SC,10821,BWI,Baltimore, MD,838,3,
0.00,WN,Southwest Airlines Co.,10994,CHS,Charleston, SC,12191,HOU,Houston, TX,838,3,
0.00,WN,Southwest Airlines Co.,11066,CMH,Columbus, OH,10693,BNA,Nashville, TN,838,3,
0.00,WN,Southwest Airlines Co.,11066,CMH,Columbus, OH,11697,FLL,Fort Lauderdale, FL,838,3,
0.00,WN,Southwest Airlines Co.,11292,DEN,Denver, CO,14492,RDU,Raleigh/Durham, NC,838,3,
0.00,WN,Southwest Airlines Co.,11540,ELP,El Paso, TX,14107,PHX,Phoenix, AZ,838,3,
0.00,WN,Southwest Airlines Co.,11697,FLL,Fort Lauderdale, FL,10397,ATL,Atlanta, GA,838,3,
0.00,WN,Southwest Airlines Co.,11697,FLL,Fort Lauderdale, FL,12264,IAD,Washington, DC,838,3,
0.00,WN,Southwest Airlines Co.,11697,FLL,Fort Lauderdale, FL,14683,SAT,San Antonio, TX,838,3,
0.00,WN,Southwest Airlines Co.,11986,GRR,Grand Rapids, MI,15304,TPA,Tampa, FL,838,3,
0.00,WN,Southwest Airlines Co.,12191,HOU,Houston, TX,10693,BNA,Nashville, TN,838,3,
0.00,WN,Southwest Airlines Co.,12191,HOU,Houston, TX,10994,CHS,Charleston, SC,838,3,
0.00,WN,Southwest Airlines Co.,12191,HOU,Houston, TX,11066,CMH,Columbus, OH,838,3,
0.00,WN,Southwest Airlines Co.,12191,HOU,Houston, TX,14831,SJC,San Jose, CA,838,3,
0.00,WN,Southwest Airlines Co.,12191,HOU,Houston, TX,14869,SLC,Salt Lake City, UT,838,3,
0.00,WN,Southwest Airlines Co.,12264,IAD,Washington, DC,11292,DEN,Denver, CO,838,3,
0.00,WN,Southwest Airlines Co.,12264,IAD,Washington, DC,11697,FLL,Fort Lauderdale, FL,838,3,
0.00,WN,Southwest Airlines Co.,12339,IND,Indianapolis, IN,13796,OAK,Oakland, CA,838,3,
0.00,WN,Southwest Airlines Co.,12889,LAS,Las Vegas, NV,14570,RNO,Reno, NV,838,3,
0.00,WN,Southwest Airlines Co.,12889,LAS,Las Vegas, NV,15370,TUL,Tulsa, OK,838,3,
0.00,WN,Southwest Airlines Co.,12892,LAX,Los Angeles, CA,10140,ABQ,Albuquerque, NM,838,3,
0.00,CH,Bemidji Airlines,10631,BJI,Bemidji, MN,10739,BRD,Brainerd, MN,403,3,
0.00,CH,Bemidji Airlines,10631,BJI,Bemidji, MN,10739,BRD,Brainerd, MN,404,3,
0.00,CH,Bemidji Airlines,10631,BJI,Bemidji, MN,13487,MSP,Minneapolis, MN,403,3,
0.00,CH,Bemidji Airlines,10631,BJI,Bemidji, MN,13487,MSP,Minneapolis, MN,404,3,
0.00,CH,Bemidji Airlines,10739,BRD,Brainerd, MN,13487,MSP,Minneapolis, MN,403,3,
0.00,CH,Bemidji Airlines,10739,BRD,Brainerd, MN,13487,MSP,Minneapolis, MN,404,3,
0.00,CH,Bemidji Airlines,13487,MSP,Minneapolis, MN,10631,BJI,Bemidji, MN,403,3,
0.00,CH,Bemidji Airlines,13487,MSP,Minneapolis, MN,10631,BJI,Bemidji, MN,404,3,
0.00,KAQ,Kalitta Air LLC,10299,ANC,Anchorage, AK,11193,CVG,Cincinnati, OH,819,3,
0.00,KAQ,Kalitta Air LLC,10299,ANC,Anchorage, AK,13930,ORD,Chicago, IL,819,3,
0.00,KAQ,Kalitta Air LLC,10397,ATL,Atlanta, GA,13930,ORD,Chicago, IL,819,3,
0.00,KAQ,Kalitta Air LLC,11193,CVG,Cincinnati, OH,10299,ANC,Anchorage, AK,819,3,
0.00,KAQ,Kalitta Air LLC,11193,CVG,Cincinnati, OH,11298,DFW,Dallas/Fort Worth, TX,626,3,
0.00,KAQ,Kalitta Air LLC,11193,CVG,Cincinnati, OH,11433,DTW,Detroit, MI,626,3,
0.00,KAQ,Kalitta Air LLC,11193,CVG,Cincinnati, OH,11540,ELP,El Paso, TX,626,3,
