New York-Newark-Jersey City, NY-NJ-PA MSA | JFK, EWR, LGA, ISP, SWF, TTN, HVN, HPN
Los Angeles-Long Beach-Anaheim, CA MSA | LAX, SNA, ONT, BUR, LGB
Chicago-Naperville-Elgin, IL-IN-WI MSA | ORD, MDW, MKE, GYY, RFD
Dallas-Fort Worth-Arlington, TX MSA | DFW, DAL
Houston-The Woodlands-Sugar Land, TX MSA | IAH, HOU
Washington-Arlington-Alexandria, DC-VA-MD-WV MSA
Miami-Fort Lauderdale-Pompano Beach, FL MSA
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA
Atlanta-Sandy Springs-Alpharetta, GA MSA
Phoenix-Mesa-Chandler, AZ MSA
Boston-Cambridge-Newton, MA-NH MSA
San Francisco-Oakland-Berkeley, CA MSA
Riverside-San Bernardino-Ontario, CA MSA
Detroit-Warren-Dearborn, MI MSA
Seattle-Tacoma-Bellevue, WA MSA
Minneapolis-St. Paul-Bloomington, MN-WI MSA
San Diego-Chula Vista-Carlsbad, CA MSA
Tampa-St. Petersburg-Clearwater, FL MSA
Denver-Aurora-Lakewood, CO MSA
St. Louis, MO-IL MSA
Baltimore-Columbia-Towson, MD MSA
Charlotte-Concord-Gastonia, NC-SC MSA
Orlando-Kissimmee-Sanford, FL MSA
San Antonio-New Braunfels, TX MSA
Portland-Vancouver-Hillsboro, OR-WA MSA
Sacramento-Roseville-Folsom, CA MSA
Pittsburgh, PA MSA
Las Vegas-Henderson-Paradise, NV MSA
Austin-Round Rock-Georgetown, TX MSA
Cincinnati, OH-KY-IN MSA
Kansas City, MO-KS MSA
Columbus, OH MSA
Indianapolis-Carmel-Anderson, IN MSA
Cleveland-Elyria, OH MSA
San Jose-Sunnyvale-Santa Clara, CA MSA
Nashville-Davidson–Murfreesboro–Franklin, TN MSA
Virginia Beach-Norfolk-Newport News, VA-NC MSA
Providence-Warwick, RI-MA MSA
Milwaukee-Waukesha, WI MSA
Jacksonville, FL MSA
Oklahoma City, OK MSA
Raleigh-Cary, NC MSA
Memphis, TN-MS-AR MSA
Richmond, VA MSA
New Orleans-Metairie, LA MSA
Louisville/Jefferson County, KY-IN MSA
Salt Lake City, UT MSA
Hartford-East Hartford-Middletown, CT MSA
Buffalo-Cheektowaga, NY MSA
Birmingham-Hoover, AL MSA
Grand Rapids-Kentwood, MI MSA
Rochester, NY MSA
Tucson, AZ MSA
