Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218050, 29, 0, 0
01-20, 2, 19219945, 30, 1, 0
01-20, 3, 19219928, 29, 19, 0
01-20, 3, 19221824, 29, 20, 0
01-20, 4, 19221807, 33, 31, 2
01-20, 4, 19223703, 34, 31, 2
01-20, 5, 19223682, 42, 40, 6
01-20, 5, 19225579, 44, 38, 6
01-20, 6, 19225562, 45, 53, 7
01-20, 6, 19227461, 45, 51, 7
01-20, 7, 19227447, 41, 68, 8
01-20, 7, 19229342, 42, 69, 8
01-20, 8, 19229324, 37, 92, 8
01-20, 8, 19231218, 38, 94, 8
01-20, 9, 19231200, 41, 109, 8
01-20, 9, 19233090, 43, 114, 8
01-20, 10, 19233066, 46, 129, 14
01-20, 10, 19234958, 48, 132, 14
01-20, 11, 19234935, 50, 151, 16
01-20, 11, 19236831, 50, 152, 16
01-20, 12, 19236809, 47, 172, 21
01-20, 12, 19238706, 47, 172, 21
01-20, 13, 19238693, 42, 183, 28
01-20, 13, 19240585, 43, 187, 28
01-20, 14, 19240567, 42, 196, 38
01-20, 14, 19242460, 43, 199, 38
01-20, 15, 19242442, 43, 209, 46
01-20, 15, 19244336, 44, 211, 46
01-20, 16, 19244322, 39, 226, 50
01-20, 16, 19246220, 39, 225, 50
01-20, 17, 19246193, 55, 231, 55
01-20, 17, 19248085, 56, 233, 57
01-20, 18, 19248060, 60, 246, 65
01-20, 18, 19249956, 60, 247, 65
01-20, 19, 19249931, 67, 258, 72
01-20, 19, 19251826, 68, 259, 72
01-20, 20, 19251804, 64, 280, 77
01-20, 20, 19253703, 64, 278, 77
01-20, 21, 19253674, 69, 294, 85
01-20, 21, 19255570, 69, 295, 85
01-20, 22, 19255539, 78, 310, 92
01-20, 22, 19257436, 78, 310, 92
01-20, 23, 19257409, 74, 330, 103
01-20, 23, 19259303, 74, 332, 104
01-20, 24, 19259270, 75, 356, 112
01-20, 24, 19261166, 75, 357, 112
01-20, 25, 19261131, 80, 375, 124
01-20, 25, 19263022, 83, 379, 123
01-20, 26, 19262987, 92, 396, 132
01-20, 26, 19264885, 93, 396, 130
01-20, 27, 19264846, 100, 412, 146
01-20, 27, 19266737, 103, 414, 147
01-20, 28, 19266694, 104, 445, 158
01-20, 28, 19268593, 105, 442, 158
01-20, 29, 19268561, 94, 473, 170
01-20, 29, 19270452, 98, 475, 170
01-20, 30, 19270404, 107, 505, 179
01-20, 30, 19272298, 107, 507, 180
01-20, 31, 19272259, 102, 544, 187
01-20, 31, 19274157, 102, 543, 187
02-19, 1, 19274104, 109, 570, 206
02-19, 1, 19270942, 112, 576, 206
02-19, 2, 19270870, 140, 604, 222
02-19, 2, 19267722, 140, 598, 223
02-19, 3, 19267666, 127, 640, 250
02-19, 3, 19264511, 127, 641, 251
02-19, 4, 19264465, 122, 673, 270
02-19, 4, 19261314, 122, 672, 269
02-19, 5, 19261241, 150, 691, 295
02-19, 5, 19258082, 151, 692, 299
02-19, 6, 19258001, 165, 730, 328
02-19, 6, 19254845, 165, 734, 327
02-19, 7, 19254781, 166, 776, 348
02-19, 7, 19251625, 167, 776, 350
02-19, 8, 19251544, 189, 811, 374
02-19, 8, 19248392, 193, 807, 373
02-19, 9, 19248301, 200, 871, 393
02-19, 9, 19245149, 200, 865, 398
02-19, 10, 19245057, 214, 919, 422
02-19, 10, 19241908, 216, 912, 423
02-19, 11, 19241833, 209, 969, 448
02-19, 11, 19238682, 210, 965, 449
02-19, 12, 19238591, 221, 1015, 479
02-19, 12, 19235435, 223, 1015, 480
02-19, 13, 19235337, 227, 1076, 513
02-19, 13, 19232192, 227, 1067, 514
02-19, 14, 19232069, 260, 1116, 555
02-19, 14, 19228924, 261, 1106, 556
02-19, 15, 19228815, 274, 1177, 581
02-19, 15, 19225665, 276, 1171, 582
02-19, 16, 19225543, 291, 1227, 633
02-19, 16, 19222395, 291, 1223, 632
02-19, 17, 19222279, 281, 1297, 684
02-19, 17, 19219128, 284, 1292, 684
02-19, 18, 19218989, 319, 1352, 728
02-19, 18, 19215836, 319, 1349, 731
02-19, 19, 19215692, 335, 1427, 781
02-19, 19, 19212530, 340, 1432, 780
02-19, 20, 19212379, 352, 1518, 833
02-19, 20, 19209217, 353, 1526, 833
02-19, 21, 19209062, 364, 1612, 891
02-19, 21, 19205900, 366, 1617, 893
02-19, 22, 19205735, 388, 1695, 958
02-19, 22, 19202575, 396, 1690, 962
