Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 1, 19216182, 0, 0, 0
01-20, 1, 19218079, 0, 0, 0
01-20, 2, 19218058, 21, 0, 0
01-20, 2, 19219955, 21, 0, 0
01-20, 3, 19219944, 26, 6, 0
01-20, 3, 19221840, 27, 6, 0
01-20, 4, 19221820, 37, 16, 0
01-20, 4, 19223717, 37, 16, 0
01-20, 5, 19223703, 37, 30, 0
01-20, 5, 19225603, 34, 30, 0
01-20, 6, 19225585, 39, 42, 1
01-20, 6, 19227482, 39, 42, 1
01-20, 7, 19227463, 48, 51, 2
01-20, 7, 19229360, 49, 50, 2
01-20, 8, 19229336, 56, 66, 3
01-20, 8, 19231236, 56, 63, 3
01-20, 9, 19231215, 55, 83, 5
01-20, 9, 19233111, 56, 82, 6
01-20, 10, 19233094, 51, 101, 9
01-20, 10, 19234997, 51, 95, 9
01-20, 11, 19234981, 46, 112, 13
01-20, 11, 19236879, 47, 109, 14
01-20, 12, 19236853, 57, 124, 15
01-20, 12, 19238753, 57, 121, 15
01-20, 13, 19238738, 47, 141, 20
01-20, 13, 19240640, 48, 135, 20
01-20, 14, 19240623, 48, 149, 23
01-20, 14, 19242525, 49, 146, 20
01-20, 15, 19242506, 49, 161, 24
01-20, 15, 19244406, 49, 158, 24
01-20, 16, 19244387, 50, 172, 28
01-20, 16, 19246288, 50, 171, 25
01-20, 17, 19246272, 41, 189, 32
01-20, 17, 19248172, 41, 189, 29
01-20, 18, 19248156, 43, 201, 31
01-20, 18, 19250056, 44, 200, 28
01-20, 19, 19250031, 50, 212, 35
01-20, 19, 19251933, 52, 208, 32
01-20, 20, 19251906, 58, 223, 38
01-20, 20, 19253807, 59, 221, 35
01-20, 21, 19253791, 53, 235, 43
01-20, 21, 19255691, 53, 234, 41
01-20, 22, 19255669, 56, 245, 49
01-20, 22, 19257574, 57, 238, 47
01-20, 23, 19257554, 52, 254, 56
01-20, 23, 19259454, 52, 253, 54
01-20, 24, 19259436, 50, 261, 66
01-20, 24, 19261339, 51, 257, 63
01-20, 25, 19261311, 55, 274, 70
01-20, 25, 19263212, 55, 272, 68
01-20, 26, 19263185, 64, 284, 74
01-20, 26, 19265085, 66, 282, 71
01-20, 27, 19265056, 74, 296, 78
01-20, 27, 19266954, 77, 295, 75
01-20, 28, 19266927, 70, 313, 91
01-20, 28, 19268826, 72, 312, 88
01-20, 29, 19268792, 80, 328, 98
01-20, 29, 19270692, 81, 325, 97
01-20, 30, 19270669, 66, 341, 119
01-20, 30, 19272570, 66, 338, 118
01-20, 31, 19272529, 81, 347, 135
01-20, 31, 19274420, 85, 348, 136
02-19, 1, 19274392, 82, 369, 146
02-19, 1, 19271235, 83, 371, 147
02-19, 2, 19271195, 92, 391, 158
02-19, 2, 19268041, 92, 392, 158
02-19, 3, 19268000, 104, 409, 170
02-19, 3, 19264843, 104, 412, 171
02-19, 4, 19264801, 109, 434, 186
02-19, 4, 19261642, 110, 439, 186
02-19, 5, 19261603, 110, 472, 192
02-19, 5, 19258442, 112, 476, 194
02-19, 6, 19258393, 111, 507, 213
02-19, 6, 19255235, 111, 508, 217
02-19, 7, 19255180, 128, 527, 236
02-19, 7, 19252015, 132, 532, 239
02-19, 8, 19251960, 124, 582, 252
02-19, 8, 19248795, 128, 586, 256
02-19, 9, 19248741, 139, 606, 279
02-19, 9, 19245582, 139, 613, 278
02-19, 10, 19245520, 148, 646, 298
02-19, 10, 19242361, 148, 650, 300
02-19, 11, 19242301, 145, 683, 330
02-19, 11, 19239136, 145, 692, 333
02-19, 12, 19239073, 148, 728, 357
02-19, 12, 19235915, 149, 730, 359
02-19, 13, 19235836, 163, 763, 391
02-19, 13, 19232673, 167, 770, 390
02-19, 14, 19232605, 171, 809, 415
02-19, 14, 19229458, 169, 809, 411
02-19, 15, 19229384, 174, 851, 438
02-19, 15, 19226229, 177, 852, 436
02-19, 16, 19226150, 183, 897, 464
02-19, 16, 19222998, 183, 894, 466
02-19, 17, 19222911, 200, 930, 500
02-19, 17, 19219755, 202, 931, 500
02-19, 18, 19219674, 223, 953, 538
02-19, 18, 19216519, 226, 953, 537
02-19, 19, 19216415, 236, 1017, 567
02-19, 19, 19213254, 237, 1023, 568
02-19, 20, 19213153, 254, 1080, 595
02-19, 20, 19209988, 259, 1082, 600
02-19, 21, 19209879, 257, 1157, 636
02-19, 21, 19206718, 257, 1164, 637
02-19, 22, 19206603, 256, 1244, 673
02-19, 22, 19203439, 257, 1252, 675
02-19, 23, 19203310, 267, 1335, 711
